City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Outjo,NA,-20.12,16.15,72.55,22,86,9.13,overcast clouds
156,Gravelbourg,CA,49.88,-106.55,42.51,76,93,19.64,overcast clouds
157,Turiacu,BR,-1.66,-45.37,75.0,92,42,4.09,scattered clouds
158,Beringovskiy,RU,63.05,179.32,27.28,93,67,12.97,broken clouds
159,Bindura,ZW,-17.3,31.33,62.01,71,0,10.0,clear sky
160,Kieta,PG,-6.22,155.63,83.55,74,36,1.03,moderate rain
161,Porto Velho,BR,-8.76,-63.9,75.2,94,40,1.12,scattered clouds
162,Cumberland,US,35.05,-78.87,62.6,93,1,4.03,clear sky
163,Mahebourg,MU,-20.41,57.7,75.99,73,8,5.99,clear sky
164,Lohja,FI,60.25,24.07,48.0,97,100,7.0,overcast clouds
165,Dawlatabad,AF,36.41,64.91,53.42,42,62,4.41,broken clouds
166,Kindu,CD,-2.95,25.95,69.8,95,100,1.66,overcast clouds
167,Nouadhibou,MR,20.93,-17.03,73.4,64,0,18.34,clear sky
168,Gornopravdinsk,RU,60.05,69.9,16.02,95,100,6.24,overcast clouds
169,Itaituba,BR,-4.28,-55.98,77.05,88,59,0.34,light rain
170,Islamkot,PK,24.7,70.18,82.45,30,0,3.33,clear sky
171,Cabedelo,BR,-6.98,-34.83,77.0,88,40,4.7,scattered clouds
172,George,ZA,-33.96,22.46,57.2,87,0,5.82,clear sky
173,Benghazi,LY,32.12,20.07,71.47,69,79,16.02,broken clouds
174,Cayenne,GF,4.93,-52.33,77.0,100,0,9.46,clear sky
175,Airai,TL,-8.93,125.41,74.82,69,62,3.49,light rain
176,Ballina,AU,-28.87,153.57,75.99,78,90,12.75,overcast clouds
177,Floro,NO,61.6,5.03,50.0,71,62,13.87,broken clouds
178,Bilma,NE,18.69,12.92,65.73,28,0,2.28,clear sky
179,Saint-Jean-Port-Joli,CA,47.22,-70.27,30.0,66,46,5.01,scattered clouds
180,Khorixas,NA,-20.37,14.97,70.52,22,94,7.49,overcast clouds
181,Codrington,AU,-38.27,141.97,63.99,73,72,6.35,broken clouds
182,Hasaki,JP,35.73,140.83,68.0,56,75,3.36,broken clouds
183,Am Timan,TD,11.03,20.28,74.82,50,0,4.74,clear sky
